True Label,SVM Prediction,DistilBERT Prediction
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Real News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Real News,Real News,Real News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
Real News,Real News,Real News
Fake News,Fake News,Fake News
Fake News,Fake News,Fake News
